CpgSite	Statistic	P-value
cg16995983	0.000796472743157	0.999364826991
cg25292358	3.73390308571	0.00021039883151
cg11988985	NA	NA
cg00673286	3.14098492498	0.0017843501076
cg03063943	-8.4392336934	3.52879726219e-16
cg11336311	22.1142545002	6.4272365132e-76
cg03850426	NA	NA
cg03063946	-4.49792209564	8.55487208633e-06
cg03051449	19.5104975714	2.46251188752e-63
cg23859051	2.72000679526	0.00675716113236
cg18902440	-2.2318983623	0.0261459517792
cg05478330	-11.7241248434	3.44027687078e-28
cg23859055	-13.1991235808	2.69893821322e-34
cg19570171	0.0969143455642	0.922833563146
cg08667777	2.42699609157	0.0155795751254
cg00137209	NA	NA
cg24722354	-0.590872993543	0.554874666942
cg03167763	0.752913535752	0.45185907006
cg01132443	-5.70906392062	1.95817763645e-08
cg00627621	-3.82853674058	0.000145407090449
cg10783086	-1.51641294647	0.13005200731
cg04638486	1.33856738122	0.181324770819
cg13555335	0.14922801985	0.881434365926
ch.13.233184R	NA	NA
cg06401027	-2.54762997953	0.0111463755063
cg23067810	2.06011207474	0.0399089223877
cg01250888	0.253006726182	0.800367839822
cg00259887	0.145162100294	0.884641857125
cg10328513	NA	NA
cg06401021	4.24796008495	2.57696139615e-05
cg09888183	NA	NA
cg18682430	-15.5334910969	1.25891897939e-44
cg27059379	0.716496413195	0.474022099948
cg24639969	NA	NA
cg07503392	-0.431428261069	0.666344458125
cg07392324	-10.2343943594	1.96748115982e-22
cg19088555	-0.0194276410022	0.984507772747
cg24696268	-2.0296981354	0.0429205338379
cg17415371	-0.15327635051	0.878242686796
cg19088553	-2.20398328142	0.0279841439168
cg18024904	NA	NA
cg02071579	-11.6922644481	4.61772114624e-28
cg06997305	0.652100102605	0.51463866439
cg12461125	0.0433843560319	0.96541260745
cg23778149	13.0558966509	1.07551206091e-33
cg25148282	-1.38641154871	0.166244131158
cg04752989	-14.9031897823	8.94752689004e-42
cg07092097	-10.3210331951	9.37863840468e-23
cg10569615	3.34522346548	0.000884473653457
cg10569616	-0.978959055422	0.328077448014
cg19705564	NA	NA
cg04705318	-12.1546583575	6.17561258365e-30
cg22681190	NA	NA
cg20284039	-17.6184343788	3.18130290327e-54
cg15161854	-10.1485723135	4.08274449679e-22
cg00368924	NA	NA
cg13494368	1.64468907713	0.100667529904
cg08866608	NA	NA
cg17009616	12.5723848459	1.16190652348e-31
cg09013981	3.35036130932	0.000868587466624
cg24048283	NA	NA
cg16329197	19.7951939504	1.05139157713e-64
cg01745370	-11.8925369088	7.20611246798e-29
cg23636682	NA	NA
cg18444757	NA	NA
cg09894072	1.89847400024	0.0582138170221
cg24786498	0.33267354384	0.739521278474
cg03596877	2.44417577835	0.0148655916212
cg01843020	5.75717743999	1.50064011793e-08
cg02045971	6.87793154874	1.83555653931e-11
cg00588198	10.644087859	5.72100073534e-24
cg25864125	-0.444460093069	0.656903839075
cg02534072	-0.42771080516	0.669047316493
cg01251591	5.87130750427	7.92387486017e-09
cg03533561	NA	NA
cg11730100	1.16528011104	0.244465714176
cg11398523	5.05959872885	5.92727261725e-07
cg03149245	-12.6395397946	6.0954141315e-32
cg00007076	-24.6383642862	3.97100817989e-88
cg13885842	1.00046372895	0.317574951461
cg02105472	NA	NA
cg16031515	4.30845165506	1.98302642466e-05
cg02225143	0.916618934279	0.359787809378
cg12163646	NA	NA
cg08979319	32.5619684956	3.00939995389e-125
cg10010922	-0.0430997685228	0.965639348493
ch.8.54249749F	NA	NA
cg10409248	-1.59055590045	0.112346686613
cg01645874	4.46894728948	9.74774958965e-06
cg24845246	-4.42517562584	1.18566265637e-05
cg24514921	-0.114550362528	0.908847880561
cg22700505	NA	NA
cg00776430	0.221974052531	0.824425446683
cg19087888	NA	NA
cg15159880	2.7054344688	0.00705629062544
cg01330815	-12.1168636646	8.81650051463e-30
cg09859103	0.243461192511	0.807748803172
cg23956648	15.4838575601	2.11861318099e-44
cg08479865	-29.2088321235	7.53424169333e-110
cg27068095	-10.8164848619	1.25864003814e-24
cg23094674	25.0767250122	3.07832749808e-90
cg25228870	NA	NA
cg01357263	0.146005106072	0.883976675605
cg13024709	7.44062872125	4.45178060875e-13
cg02409108	2.05230904176	0.0406639050193
cg22823821	-11.2737591023	2.11539235611e-26
cg12579230	-4.11541547847	4.52554528949e-05
cg26400835	-15.0596283528	1.76959415319e-42
cg21982467	-0.0366006983555	0.970818112143
cg00020390	4.14664853798	3.96852532704e-05
cg10850930	11.4826428892	3.16702879833e-27
cg07151047	NA	NA
cg27130364	0.640948441822	0.521852206106
cg05376919	-2.02219852713	0.0436920894318
cg04198581	-7.63330403608	1.18323215301e-13
cg24174984	0.812607118654	0.416833199149
cg11812023	0.227988783353	0.819748915059
cg15955521	-8.50431401154	2.16581256104e-16
cg15955522	-0.129346623007	0.897135921621
cg08984996	0.785085459753	0.432778291243
cg23542858	-1.14502246664	0.252752050233
cg24695950	3.77348948061	0.000180439315283
cg02053188	3.29608514086	0.00105065762923
cg09699896	-6.05874539333	2.71528054704e-09
cg08474929	4.00148976593	7.25533847207e-05
cg20953510	1.16327130068	0.24527989426
cg11222041	0.317460046108	0.751028144821
cg27505193	NA	NA
cg06992223	2.4629267089	0.0141194569441
cg04985020	NA	NA
cg03054162	NA	NA
cg13074055	-15.03894962	2.1931258822e-42
cg25947525	-17.2104563906	2.16072185954e-52
cg00722320	14.3005647717	6.55185009907e-39
cg11424273	-2.81128327403	0.00512975154673
cg06966040	NA	NA
cg00722329	-7.31498274881	1.04165320238e-12
cg25762679	15.8619803626	3.9616680715e-46
cg00572739	-0.472764458047	0.636589195386
cg12916710	7.08934364305	4.66119830048e-12
cg14830644	-4.84111303709	1.72845660028e-06
cg08422054	-14.1438336285	2.12583123022e-38
cg13786089	18.75807348	9.95694797275e-60
cg18745507	7.53483955853	2.33644165445e-13
cg03150210	-0.406323518137	0.684680156853
cg15963714	-5.44263299886	8.26667318802e-08
cg14108380	3.39720826289	0.00073549789902
ch.12.2352423F	NA	NA
cg00701692	16.0415039752	5.92508903024e-47
cg26433975	9.7412504139	1.23630737474e-20
cg02701084	-0.505976851239	0.613097699291
cg23590827	-0.682080657838	0.495506336266
cg02701080	22.5201568378	6.93683675265e-78
cg14182621	11.6730531815	5.51336154388e-28
cg25024001	0.25849135778	0.796134946298
cg17852744	NA	NA
cg13770691	-5.78932253831	1.25491792597e-08
cg14168009	-5.23475989251	2.44385609092e-07
cg13786083	-0.0042881345372	0.996580298238
cg19888654	6.85611366351	2.11493272508e-11
cg14168002	0.364865816177	0.715367090243
cg06527865	-0.914374213982	0.360964525965
cg10200334	-3.16515431644	0.00164526676107
cg10210909	4.26632423037	2.4002880833e-05
cg23888462	2.09408153138	0.0367596986485
cg20732881	-5.02054784879	7.19690295748e-07
cg00637802	NA	NA
cg19442920	NA	NA
cg08436089	-13.408418539	3.35706656604e-35
cg04952694	NA	NA
cg02380151	-13.9858119595	1.04954087542e-37
cg21481966	-10.6253155471	6.74040889778e-24
cg02228420	1.32677760126	0.185192753516
cg21024234	-6.93051561554	1.30926900953e-11
cg02397428	NA	NA
cg06507307	1.48826490792	0.137317812249
cg02371121	-14.9797868035	4.04972221099e-42
cg26565099	-12.2698224648	2.07964369428e-30
cg03869253	-2.1258227522	0.034011412248
cg13324288	-14.4791373771	7.00629901724e-40
cg13159060	-7.62935805696	1.21609524563e-13
cg05457747	17.8871073994	1.389983029e-55
cg09489567	4.79180811405	2.18708152209e-06
cg12123019	5.10598129743	4.69926643745e-07
cg21957813	-7.30210415635	1.13577185444e-12
cg23269489	-3.19210473873	0.00150202051711
cg26793320	-0.749488007282	0.4539184413
cg05784594	-6.65966499672	7.30123710626e-11
cg13464337	-17.6399645701	2.05087133071e-54
cg08795964	22.3481298858	4.72842545029e-77
cg18533237	NA	NA
cg24050112	11.4418861585	4.59461979911e-27
cg19947357	0.31473371785	0.753096194086
cg08795962	-1.66952940347	0.0956434694528
cg09471343	NA	NA
cg14689365	-4.44088781459	1.10537689202e-05
cg18396806	-3.24311532526	0.00126195297574
cg24162579	-11.3415369226	1.28380355248e-26
cg01370213	-8.93259964817	8.15788162575e-18
cg20519531	0.22268483824	0.823872472233
cg07596568	NA	NA
cg12591454	3.09408834564	0.00208560471095
cg01142710	17.0344921228	1.44466419263e-51
cg22996768	NA	NA
cg02670466	NA	NA
cg21859597	0.381613528992	0.702911473181
cg07387734	4.2409690233	2.6565722611e-05
cg01664065	-12.8433194586	8.51737124645e-33
cg21859594	-6.01332844561	3.52866470855e-09
cg14705319	7.19158443629	2.37454553938e-12
cg10527300	-1.36153401989	0.173963126495
cg04590303	9.73693503866	1.28116930566e-20
cg06060137	0.0873873479455	0.930398893901
cg02347312	-1.04468215427	0.296678757963
cg08848324	-0.20179650524	0.840158549107
cg03083228	-9.2925025778	4.75618946982e-19
cg24809958	2.63744991773	0.00861541362454
cg07091392	NA	NA
cg09050048	NA	NA
cg18261205	15.7543101645	1.23414422155e-45
cg08397758	-2.76638987793	0.00587961875619
cg04098028	0.247411392903	0.804692237568
cg04098023	NA	NA
cg25443968	-0.310306875813	0.756457946002
cg04225760	-19.0768905519	2.9676417332e-61
cg25773344	-3.50574623046	0.000496636933534
cg17778722	NA	NA
cg17778721	-0.116261551735	0.907492312686
cg07452164	3.89910077189	0.000109837998532
cg07018260	0.548442835835	0.583634632888
cg23828851	-5.46329875574	7.40799752188e-08
cg16640517	-4.33993852417	1.72810084587e-05
cg02761866	NA	NA
ch.1.976694F	-1.64873636504	0.099834854963
cg18417061	2.32564116275	0.0204400452207
cg06204229	-14.9455519557	5.77271509174e-42
cg01286624	-5.12403436242	4.29120475981e-07
cg27576136	NA	NA
cg23001905	-14.4386606417	1.05959042533e-39
cg03621406	1.561631448	0.119012619926
cg06339974	0.977234199037	0.328929599598
cg00961446	NA	NA
cg17143565	-0.450095701127	0.652838088439
cg04044188	-13.9996093795	9.13231546636e-38
cg11756837	0.899371673705	0.368891135748
cg15886017	-0.817813725244	0.41385624265
cg01232040	-0.331116978695	0.740695968072
cg01016465	NA	NA
cg23842158	-1.18212592323	0.237722141757
cg04160201	-7.79523671164	3.80906116949e-14
cg03231860	-25.2627255167	3.92727925125e-91
cg23543352	0.367157496323	0.713658136369
cg21179618	12.0980402756	1.052462372e-29
cg14504269	20.432182312	8.90790160013e-68
cg04679849	-5.79976265734	1.18390276026e-08
cg20057066	-6.58290106337	1.17660369328e-10
cg18861827	NA	NA
cg06649044	NA	NA
cg25187254	0.0272649915508	0.978259345355
cg24877885	0.631982309393	0.527689617432
cg04168050	-1.86547367436	0.0627051927948
cg25748712	-0.530034062035	0.596325498707
ch.15.1538350R	NA	NA
cg22515696	-14.9525348208	5.37017684811e-42
cg06649048	14.3134165694	3.79957669132e-39
cg26331625	3.88418231504	0.000116591192548
cg08237418	NA	NA
cg20500126	1.09775883858	0.272842431675
cg12521167	-2.29066853575	0.0224012534221
cg20710138	-2.90809980626	0.00379932651511
cg25219318	-17.2611417907	1.24889320908e-52
cg16495212	13.3665226689	5.08013649189e-35
cg16969274	-2.22372651938	0.0266164673228
cg14239491	-0.694010355419	0.488000619448
cg12086281	-3.14509488316	0.00175995914365
cg04353758	2.13457739849	0.0332851278576
cg14239494	-1.90514683188	0.0573390159116
cg02561205	-1.24537770334	0.213580950889
cg17603219	NA	NA
cg16202755	-12.4473026988	3.91248593129e-31
cg24749470	-24.0383377856	3.1194096984e-85
cg18168751	NA	NA
cg16617366	-1.74642649909	0.0813559085482
cg08285646	4.73775304558	2.8275240526e-06
cg13108852	NA	NA
cg12145783	6.0393999651	3.03648722589e-09
cg05395156	-14.7105487198	6.52568470404e-41
cg24776326	-3.39970744509	0.000728961628521
cg09088965	NA	NA
cg21832537	-11.6422076249	7.32626047576e-28
cg20568691	-0.380683956342	0.703600759388
cg13819869	-0.907306279811	0.364685436632
cg08801710	-23.0465468489	1.95585000016e-80
cg25616055	18.8694898826	2.92009572875e-60
cg14393817	-7.10727621137	4.14340506614e-12
cg24601480	-12.0211806056	2.16563744246e-29
cg16421157	-11.8951912912	7.03005306517e-29
cg05346140	-17.8852117757	1.4190202267e-55
cg23674189	-2.22002683048	0.0268682569609
cg06991148	-6.25329696284	8.67948074788e-10
cg15947487	-4.47961759327	9.29101511667e-06
cg01791407	6.1811815982	1.32915973775e-09
cg00367615	2.1478957665	0.032205779155
cg21161253	15.5641871397	9.12161502858e-45
cg04975775	-11.3647034246	9.27636387435e-27
cg05740522	-3.89475774241	0.000111764785072
cg13516655	-1.32321297309	0.186374202601
cg13516654	-18.1870063446	5.24837988221e-57
cg04982344	2.37224682419	0.0181056019993
cg24895779	NA	NA
cg23491424	-8.94456033011	7.43192254647e-18
cg14254080	3.88236028315	0.000117442388255
cg26544932	0.921678176153	0.35714455075
cg02502233	NA	NA
cg25808892	0.105874527304	0.915724708913
cg08533745	11.7076472617	4.06260592512e-28
cg06807397	12.2121040956	3.59075993374e-30
cg20351189	NA	NA
cg25950728	NA	NA
cg04828493	4.84052726089	1.73233968117e-06
cg11498228	2.51029034387	0.0123804031252
cg21754201	-13.5250596346	1.05612040991e-35
cg10005464	-5.88094208133	7.50448922334e-09
cg14229207	-0.504102262675	0.614413357338
cg14210830	-14.6315885572	1.46920659251e-40
cg26574621	-0.229612468266	0.818487572769
cg19277401	-19.6240592074	7.00394181104e-64
cg08071329	NA	NA
cg12650267	-0.965786578947	0.33462163478
cg07739478	0.274220920682	0.784029019134
cg07739472	-2.20329234217	0.0280330882676
cg24537993	NA	NA
cg01378677	3.07523824541	0.0022193696612
cg20106459	15.0859510345	1.34642344436e-42
cg25764623	11.3162108885	1.44038995051e-26
cg23257569	-2.92676681466	0.00358225873078
cg08079136	NA	NA
cg13773570	21.5615817722	3.06037613192e-73
cg23257564	NA	NA
cg07511201	0.208331238661	0.83505586157
cg23257561	NA	NA
cg10032131	NA	NA
cg16335566	NA	NA
cg26989927	-2.8071291568	0.00519530810852
cg22069441	-1.57924702847	0.114916896855
cg25588559	-14.1460270168	2.07912351018e-38
cg01708466	-0.48625469267	0.627001361113
cg25940517	1.25113130842	0.211476372296
cg14194634	NA	NA
cg24981564	0.0879802541353	0.929927879417
cg18500906	NA	NA
cg19642306	-17.7572846697	5.72110354203e-55
cg11302293	-7.25614649458	1.54502918147e-12
cg20261431	-8.4259925246	3.91322142654e-16
cg18023251	NA	NA
cg15889548	-21.4583920348	9.67336570383e-73
cg25831075	34.4712173635	9.10012544544e-134
cg04411893	8.77500775136	2.76267430696e-17
cg25934064	-5.84152117413	9.37021873449e-09
cg03693762	0.479981574932	0.631452088278
cg14448116	17.1173962286	6.18888331602e-52
cg02775489	-4.86146656411	1.56624672576e-06
cg06069206	NA	NA
cg15981475	0.789269465979	0.430331644307
cg16105510	0.147332177677	0.882929703843
cg09211265	-6.90826321511	1.5108897875e-11
cg27592410	11.0776675497	1.23493954398e-25
cg17036024	-0.421820275886	0.673338965133
cg03588007	-1.77942177918	0.0757828801936
cg26149184	-0.451505637306	0.651822514042
cg03764518	10.1291923407	4.81182523262e-22
cg24600498	-0.308698548938	0.757680723806
cg09226198	NA	NA
cg15993841	NA	NA
cg22875013	0.0711596477003	0.943299378876
cg14649095	-6.81279603747	2.78170046229e-11
cg26131286	6.95167277568	1.14219667264e-11
cg01573938	0.920379307316	0.357821986394
cg23806621	NA	NA
cg26545580	0.148866784762	0.881719256131
cg25468277	-2.33580592152	0.0198989533669
cg14945937	-16.9080358832	5.6420428098e-51
cg15015980	-6.30635629466	6.32717756026e-10
cg25201372	10.6013443655	8.30827479389e-24
cg14848284	-0.975095916508	0.329987996989
cg23206017	-14.3941720079	1.66863716891e-39
cg22939193	-2.23151622043	0.0260929994557
cg25403416	1.24464124948	0.213851424705
cg05491326	-9.05609363611	3.10345434975e-18
cg05005921	2.5752361139	0.0103057569265
cg01557989	1.84823457421	0.0651634726121
cg15381304	7.78808350163	4.0061478037e-14
cg23617327	6.52251989495	1.70721686188e-10
cg03791799	NA	NA
cg11473040	2.26054468518	0.0242201216924
cg15458338	5.03211933983	6.79556698902e-07
cg19561274	-1.67968091836	0.0936491278055
cg12697116	-7.74335905932	5.4874031347e-14
cg13793478	NA	NA
cg06698414	-11.0360297538	1.79199656052e-25
cg15936375	7.28662431421	1.26002599237e-12
cg08556541	3.75489387714	0.00019397348889
cg17648210	7.95004063576	1.26763754083e-14
cg17380160	-6.23724447083	9.54646558807e-10
cg26534807	-9.15907643704	1.3764990759e-18
cg18152276	NA	NA
cg01025762	2.58539285111	0.010011018603
cg11654333	-1.05011550517	0.294176384465
cg23907053	-1.09589264594	0.273657574982
cg05584597	-7.8057481585	3.5366804737e-14
cg05550919	0.492407385022	0.622649261836
cg16904330	14.5148525778	4.86191190587e-40
cg07626637	0.303158560569	0.761896137332
cg19134567	-0.585408806772	0.558539108496
cg13913475	NA	NA
cg08856529	13.3187468257	8.14189222882e-35
cg03062544	-1.40952587668	0.159306404423
cg00934322	-16.297059919	3.91850658608e-48
cg23069295	-9.96553741271	1.91160220066e-21
cg03062549	19.3441999636	1.54971921237e-62
cg00017062	-0.223098294807	0.823550853134
cg19134568	24.6448942823	3.69343593925e-88
cg25556614	-1.03520190468	0.301079070248
cg11611011	0.725285198764	0.468619122018
cg23384406	-18.4655013274	2.48032562762e-58
cg16851771	2.83383522255	0.00478676528359
cg02556067	-2.58407292725	0.0100488908793
cg02407032	0.050576397983	0.959683431023
cg22435791	-0.926655259666	0.354556219132
cg07505515	-5.03741501133	6.61919427428e-07
cg24404823	5.62549588682	3.09523637239e-08
cg17217296	NA	NA
cg17217295	-0.90938342688	0.363590329287
cg21220264	0.556509583509	0.57811353087
cg16859165	-17.166214393	3.48551218483e-52
cg16354932	NA	NA
cg08817424	-4.16387196061	3.68993282117e-05
cg11331988	1.17147139328	0.241971784141
